,prob0_0,prob0_1,prob0_2,prob0_3,prob0_4,prob0_5,prob0_6,prob0_7,prob0_8,prob0_9,prob0_10,prob0_11,allprobs,discussever,Discussed_Ever
0,0.625,0.9375,0.6133333333333333,0.5666666666666667,1.0,,,0.7142857142857143,0.7333333333333333,0.7777777777777778,0.6666666666666666,0.5,0.6370967741935484,1,Attract customers
1,0.28846153846153844,0.5625,0.37333333333333335,0.36666666666666664,0.6,,,0.5714285714285714,0.36666666666666664,0.3333333333333333,0.35,0.3076923076923077,0.3387096774193548,2,Product pricing
2,0.33653846153846156,0.4375,0.4266666666666667,0.36666666666666664,0.8,,,0.5714285714285714,0.4,0.5555555555555556,0.35,0.38461538461538464,0.3790322580645161,3,Lower cost
3,0.3173076923076923,0.375,0.3333333333333333,0.3,0.2,,,0.2857142857142857,0.36666666666666664,0.1111111111111111,0.3333333333333333,0.19230769230769232,0.3064516129032258,4,Product types
4,0.21153846153846154,0.5,0.21333333333333335,0.23333333333333334,0.2,,,0.42857142857142855,0.26666666666666666,0.0,0.23333333333333334,0.07692307692307693,0.20967741935483872,5,Location
5,0.3173076923076923,0.4375,0.37333333333333335,0.3,0.2,,,0.42857142857142855,0.4,0.3333333333333333,0.36666666666666664,0.19230769230769232,0.3225806451612903,6,Where to buy
6,0.5576923076923077,0.625,0.5466666666666666,0.5,0.2,,,0.42857142857142855,0.7,0.6666666666666666,0.5,0.38461538461538464,0.5403225806451613,7,Record keeping
7,0.16346153846153846,0.375,0.22666666666666666,0.26666666666666666,0.2,,,0.2857142857142857,0.3,0.3333333333333333,0.2,0.19230769230769232,0.21774193548387097,8,New investments
8,0.19230769230769232,0.3125,0.21333333333333335,0.26666666666666666,0.2,,,0.2857142857142857,0.3,0.4444444444444444,0.18333333333333332,0.15384615384615385,0.21774193548387097,9,Hours
9,0.17307692307692307,0.1875,0.24,0.2,0.0,,,0.2857142857142857,0.16666666666666666,0.1111111111111111,0.18333333333333332,0.07692307692307693,0.18548387096774194,10,Take out loans
