,id,err_log,ce_std,treat,tprofit_endline,tinventory_endline,keeps_some_records_endline,marketing_endline,age,businessage,bankaccount,credit,employees,employeesnumber,loan,gender,profit,secondaryedu,account,marketing
78,1678.0,-0.1249733,-0.20717235,0.0,500.0,1000.0,1.0,0.0,43,17,1,1,0,0,0,1,7000.0,1.0,0.0,0.0
79,1917.0,-0.119410515,-0.19904536,0.0,1500.0,3000.0,0.0,0.0,52,10,1,1,0,0,1,1,8000.0,1.0,0.0,0.0
80,3018.0,-0.11257172,-0.18905416,0.0,700.0,3500.0,0.0,0.0,35,7,0,1,0,0,0,1,12000.0,0.0,0.0,0.0
81,2774.0,-0.10664272,-0.18039215,0.0,1400.0,4900.0,1.0,1.0,44,26,1,1,0,0,0,1,9000.0,1.0,0.0,0.0
82,1553.0,-0.092515945,-0.15975352,0.0,7000.0,7000.0,1.0,0.0,45,26,1,1,0,0,0,1,9000.0,0.0,0.0,0.0
83,465.0,-0.092515945,-0.15975352,0.0,2100.0,21000.0,1.0,0.0,45,6,1,1,0,0,0,1,9000.0,1.0,0.0,0.0
84,3256.0,-0.07869911,-0.1395677,0.0,8000.0,10000.0,0.0,0.0,46,9,1,1,0,0,0,1,9000.0,0.0,0.0,0.0
85,1271.0,-0.065179825,-0.11981659,0.0,1000.0,8000.0,0.0,0.0,47,10,0,1,0,0,0,1,9000.0,0.0,0.0,0.0
86,2761.0,-0.06087494,-0.11352733,0.0,2800.0,1800.0,1.0,0.0,38,20,0,0,0,0,0,1,12000.0,1.0,0.0,0.0
87,2397.0,-0.05103588,-0.09915287,0.0,200.0,2000.0,1.0,0.0,61,10,0,1,0,0,0,1,9000.0,0.0,0.0,0.0
88,1496.0,-0.038983345,-0.08154462,0.0,1500.0,4200.0,1.0,0.0,49,20,0,1,0,0,0,1,9000.0,1.0,0.0,0.0
89,2346.0,-0.026283264,-0.06299033,0.0,1700.0,1000.0,0.0,0.0,50,7,0,1,0,0,0,1,9000.0,0.0,0.0,0.0
90,651.0,-0.026283264,-0.06299033,0.0,3000.0,5000.0,1.0,0.0,50,10,0,0,0,0,0,1,9000.0,0.0,0.0,0.0
91,886.0,-0.021382332,-0.055830274,0.0,3000.0,5500.0,1.0,0.0,41,20,0,0,1,1,0,1,8000.0,0.0,0.0,0.0
92,2967.0,-0.003063202,-0.029066792,0.0,500.0,,1.0,0.0,35,8,0,0,0,0,0,1,9000.0,0.0,0.0,0.0
93,1618.0,0.011896133,-0.007211826,0.0,10000.0,20000.0,0.0,0.0,50,10,1,0,1,2,1,1,30000.0,1.0,0.0,0.0
94,1155.0,0.012594223,-0.006191946,0.0,600.0,8400.0,1.0,0.0,48,10,0,1,0,0,1,1,9600.0,1.0,0.0,0.0
95,1541.0,0.07211685,0.08076813,1.0,2100.0,1000.0,1.0,0.0,37,8,1,0,0,0,1,1,12000.0,0.0,0.0,0.0
96,1149.0,0.10229778,0.12486121,1.0,500.0,4600.0,0.0,0.0,35,10,0,1,1,1,0,1,10000.0,1.0,0.0,0.0
97,2867.0,0.10229778,0.12486121,1.0,2000.0,8000.0,1.0,0.0,35,8,1,1,0,0,0,1,10000.0,0.0,0.0,1.0
98,2463.0,0.10336971,0.12642725,1.0,3000.0,7100.0,1.0,0.0,50,18,1,1,0,0,1,1,8000.0,1.0,0.0,1.0
99,2535.0,0.10520935,0.12911488,1.0,6000.0,10000.0,1.0,0.0,39,11,0,0,0,0,0,1,12000.0,1.0,0.0,0.0
100,168.0,0.12112522,0.15236731,1.0,5000.0,10000.0,1.0,1.0,40,15,1,1,0,0,1,1,12000.0,1.0,0.0,0.0
101,1850.0,0.13664722,0.17504431,1.0,2100.0,5000.0,0.0,0.0,41,15,1,0,0,0,0,1,12000.0,0.0,0.0,0.0
102,3092.0,0.14079285,0.18110089,1.0,1500.0,3000.0,1.0,0.0,44,18,0,0,0,0,0,1,9000.0,0.0,0.0,0.0
103,3028.0,0.15491962,0.20173952,1.0,,,0.0,0.0,45,6,0,1,0,0,0,1,9000.0,1.0,0.0,0.0
104,432.0,0.16658783,0.21878628,1.0,600.0,1200.0,0.0,0.0,43,10,0,1,0,0,1,1,12000.0,0.0,1.0,0.0
105,2240.0,0.17859745,0.23633184,1.0,500.0,5000.0,1.0,0.0,39,15,1,1,1,1,1,1,15000.0,0.0,0.0,0.0
106,3258.0,0.18103981,0.23990002,1.0,2100.0,5000.0,1.0,0.0,44,19,0,0,0,0,0,1,12000.0,1.0,0.0,0.0
107,3288.0,0.19516659,0.26053867,1.0,3000.0,7800.0,1.0,0.0,45,10,1,1,0,0,0,1,12000.0,0.0,0.0,0.0
108,12.0,0.19516659,0.26053867,1.0,6000.0,15000.0,1.0,0.0,45,9,1,0,0,0,0,1,12000.0,1.0,0.0,0.0
109,485.0,0.2343607,0.3177996,1.0,10000.0,,1.0,0.0,38,20,1,1,1,5,0,1,15000.0,1.0,0.0,0.0
110,2801.0,0.23997593,0.32600322,1.0,,,1.0,0.0,43,10,1,1,1,1,1,1,15000.0,0.0,0.0,0.0
111,1518.0,0.26032734,0.3557358,1.0,1500.0,5000.0,0.0,0.0,35,9,0,1,0,0,0,1,15000.0,1.0,0.0,0.0
112,2217.0,0.26139927,0.35730183,1.0,28000.0,20000.0,1.0,0.0,50,14,1,0,0,0,0,1,12000.0,1.0,0.0,0.0
113,1568.0,0.3091259,0.42702845,1.0,1500.0,5500.0,1.0,0.0,48,8,1,1,0,0,0,1,15000.0,1.0,1.0,0.0
114,1311.0,0.30977917,0.42798284,1.0,1200.0,5000.0,1.0,0.0,54,14,0,1,0,0,1,1,12000.0,0.0,0.0,0.0
115,114.0,0.31202412,0.43126264,1.0,2500.0,3000.0,1.0,0.0,38,15,1,1,0,0,1,1,15000.0,1.0,0.0,0.0
116,2940.0,0.31202412,0.43126264,1.0,7400.0,5000.0,1.0,0.0,38,7,1,1,0,0,1,1,15000.0,1.0,0.0,0.0
117,818.0,0.32288742,0.44713345,1.0,1500.0,1000.0,1.0,0.0,46,11,0,0,0,0,0,1,10500.0,0.0,0.0,0.0
118,1730.0,0.32835293,0.45511833,1.0,1500.0,2000.0,1.0,0.0,39,12,0,1,0,0,1,1,15000.0,0.0,0.0,0.0
119,2477.0,0.34064674,0.4730791,1.0,7000.0,13000.0,1.0,0.0,45,6,0,0,1,1,0,1,15000.0,0.0,0.0,0.0
120,1112.0,0.3442688,0.47837076,1.0,5000.0,2400.0,1.0,0.0,40,7,0,1,0,0,0,1,15000.0,0.0,0.0,0.0
121,1427.0,0.3442688,0.47837076,1.0,2000.0,4000.0,0.0,0.0,40,10,0,0,0,0,0,1,15000.0,0.0,0.0,0.0
122,656.0,0.3594427,0.50053924,1.0,9000.0,18000.0,0.0,0.0,52,8,1,0,0,0,1,1,15000.0,0.0,0.0,0.0
123,2997.0,0.3760109,0.52474463,1.0,6400.0,11000.0,1.0,0.0,60,7,1,1,0,0,1,1,12000.0,1.0,0.0,0.0
124,1799.0,0.3897314,0.54478973,1.0,700.0,12000.0,1.0,0.0,43,18,0,1,0,0,1,1,15000.0,1.0,0.0,0.0
125,1629.0,0.3897314,0.54478973,1.0,1600.0,4600.0,1.0,0.0,43,18,0,1,0,0,1,1,15000.0,1.0,0.0,0.0
