,id,wave,months_since_treat,count,treat,treat2,meet,meet2,tprofits,delta_profits,delta_profits_c,delta_profits_b,trevenue,price,cprice,delta_meet,difficulties,mentorbenefit,discuss,discussever,otherinvest,loanlastyear,marketing,temployeesnumber,I_emp,twagebill,tinventorystock,tweekopen,keeps_some_records,supplierswitch,new_product,z_business_score,z_marketing_score,marketing_score,competitorprice,competitorproduct,sales,upsell,do_advert,z_stock_score,stock_score,supplierhaggle,suppliercompare,stockout,z_record_score,record_score,everysale,consultrecords,budget,class,mentorL,mentorM,mentorH,exit,secondaryedu_M,mentorL_ba,mentorM_ba,mentorH_ba,mentor_hs,mentor_ps,profit_b,tprofits_b,emp_b,emp_b2,I_emp_b,age_b,lage_b,businessage_b,sec0_b,sec1_b,sec2_b,sec3_b,sec4_b,sec0_0,sec0_1,sec0_2,sec0_3,sec0_4,sec0_5,sec0_6,sec0_7,sec0_8,sec0_9,sec0_10,sec1_1,sec1_2,sec1_3,sec1_4,sec1_5,sec1_6,sec2_0,sec2_1,sec2_2,sec2_3,sec2_4,sec2_5,sec2_6,sec2_7,sec3_0,sec3_1,sec3_2,sec3_3,sec3_4,sec3_5,sec3_6,sec3_7,formalaccount_b,credit_b,bankaccount_b,loan_b,secondaryedu_b,advert_b,retail_b,manu_b,serv_b,food_b,keeps_some_records_b,marketing_b
101,496.0,6.0,12.0,7.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.4572389,-0.9506432,0.0,0.0,0.0,0.0,0.0,0.0,-0.91184646,0.0,0.0,0.0,0.0,-1.2726872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,34.0,3.5263605,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102,496.0,7.0,17.0,7.0,2.0,2.0,,,300.0,,-1.8837137,-2.9957318,4000.0,3000.0,2500.0,,,,,,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,6000.0,1200.0,0.0,,0.0,34.0,3.5263605,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103,521.0,0.0,-2.0,4.0,2.0,3.0,,,1200.0,,-0.47041512,,,,,,0 2 10,,,,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,29.0,3.3672957,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
104,521.0,1.0,1.0,4.0,3.0,3.0,,,1000.0,-0.18232155,-0.5499196,-1.791759,,,,,,,,,0.0,,0,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,29.0,3.3672957,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
105,521.0,3.0,3.0,4.0,3.0,3.0,,,500.0,-0.6931472,-1.3367367,-2.4849062,2000.0,,,,,,,,0.0,,0,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,29.0,3.3672957,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
106,521.0,4.0,4.0,4.0,3.0,3.0,,,2000.0,1.3862944,0.03446579,-1.0986118,5000.0,,,,,,,,0.0,,0,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,29.0,3.3672957,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,521.0,5.0,7.0,4.0,3.0,3.0,,,500.0,-1.3862944,-1.5842576,-2.4849062,3000.0,10.0,3500.0,,0 9 10,,,,0.0,,0,0.0,0.0,0.0,3000.0,48.0,0.0,0.0,0.0,-1.7939368,-1.2278992,0.0,0.0,0.0,0.0,0.0,0.0,-1.1627979,0.0,0.0,0.0,0.0,-1.2714529,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6000.0,1200.0,0.0,,0.0,29.0,3.3672957,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,546.0,0.0,-2.0,7.0,2.0,3.0,,,2400.0,,0.22273207,,,,,,1 10 11,,,,,,0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,12000.0,2400.0,0.0,,0.0,32.0,3.465736,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
109,546.0,1.0,1.0,7.0,3.0,3.0,,,3500.0,0.37729454,0.70284367,-1.2321434,,,,,,,,,0.0,,0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,12000.0,2400.0,0.0,,0.0,32.0,3.465736,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,546.0,2.0,2.0,7.0,3.0,3.0,,,300.0,-2.456736,-1.6060991,-3.6888795,,,,,,,,,0.0,,0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,12000.0,2400.0,0.0,,0.0,32.0,3.465736,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
