,age,businessage,bankaccount,credit,employees,employeesnumber,loan,gender,lprofit,tprofit,sec0,sec1,sec2,sec3,sec0_0,sec0_1,sec0_2,sec0_3,sec0_4,sec0_5,sec0_6,sec0_7,sec0_8,sec0_9,sec0_10,sec1_1,sec1_2,sec1_3,sec1_4,sec1_5,sec1_6,sec2_0,sec2_1,sec2_2,sec2_3,sec2_4,sec2_5,sec2_6,sec2_7,sec3_0,sec3_1,sec3_2,sec3_3,sec3_4,sec3_5,sec3_6,sec3_7,self_taught,youngfirm,binf,bf,avg_profit_agegen,binl,bl,avg_I_emp_learn,lavg_profit_learn,lavg_wagebill_learn,secondaryedu,marketing,account
36,30.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,10.308952,30000.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
37,22.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.615806,15000.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
38,36.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
39,32.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,1.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
40,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.699514,6000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
41,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.615806,15000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
42,21.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.308952,30000.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
43,49.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0021,60000.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
44,35.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.392662,12000.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
45,23.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.1049795,9000.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
46,22.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.294049,4000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
47,27.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.006368,3000.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
48,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
49,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
50,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.699514,6000.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
51,26.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.006368,3000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
52,25.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,9.1049795,9000.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
53,28.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.615806,15000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
54,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.6009026,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
55,24.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.1049795,9000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
56,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.699514,6000.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,1.0
57,29.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,10.714417,45000.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
58,51.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.699514,6000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
59,24.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.615806,15000.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
60,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.699514,6000.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,1.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
61,23.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,1.0,0.0
62,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.571317,39000.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
63,24.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,10.896739,54000.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,1.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,1.0,1.0,0.0
64,20.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.411833,4500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
65,33.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.392662,12000.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
66,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
67,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,10.373491,32000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
68,23.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.392662,12000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,0.0
69,34.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.294049,4000.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,1.0,0.0,1.0
70,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.392662,12000.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,1-0,15480.303,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
71,37.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,8.699514,6000.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1-1,9295.809,1,1-0,0.17955801,9.482376,7.2020316,0.0,0.0,0.0
